Jurisdiction,Timestep,Date,Mean,Lower,Upper
United States - Alaska,98,2020-05-19 00:00:00,41.14672511632162,20.552803224354232,81.10580846629405
United States - Alaska,99,2020-05-20 00:00:00,41.957381290324236,20.95831695993244,82.70605340656996
United States - Alaska,100,2020-05-21 00:00:00,42.78401830189313,21.371831618204943,84.33787171893051
United States - Alaska,101,2020-05-22 00:00:00,43.62695129292714,21.793505060072967,86.00188635664911
United States - Alaska,102,2020-05-23 00:00:00,44.4865016211382,22.223498261087208,87.69873256407773
United States - Alaska,103,2020-05-24 00:00:00,45.36299698266599,22.66197537290006,89.4290581191535
United States - Arizona,15,2020-02-26 00:00:00,110.25685286143181,59.83104139499574,232.1739191882487
United States - Arizona,16,2020-02-27 00:00:00,112.49926220641758,56.856594478946235,230.3677429727108
United States - Arizona,17,2020-02-28 00:00:00,88.59739501564958,0,210.3649293212027
United States - Arizona,18,2020-02-29 00:00:00,108.68566446086261,0,457.0391576323077
United States - Arizona,19,2020-03-01 00:00:00,163.4568095389192,0,563.5506447269962
United States - Arizona,20,2020-03-02 00:00:00,200.1054167439687,0,531.0458978573125
United States - Arizona,21,2020-03-03 00:00:00,256.1372485129921,64.90586782538125,771.4162155826767
United States - Arizona,22,2020-03-04 00:00:00,349.6614127446235,89.35809497793733,939.2510745449936
United States - Arizona,23,2020-03-05 00:00:00,335.9879010429203,115.76679978906337,882.4420624574404
United States - Arizona,24,2020-03-06 00:00:00,267.32884286429135,117.5613065317895,642.3350329961053
United States - Arizona,25,2020-03-07 00:00:00,330.90879629447346,123.84142408959806,776.7662598179311
United States - Arizona,26,2020-03-08 00:00:00,500.46519499855305,168.3188051865994,1162.0404505195247
United States - Arizona,27,2020-03-09 00:00:00,589.175728094694,209.9333077062766,1342.1986596473637
United States - Arizona,28,2020-03-10 00:00:00,627.0850219907103,189.08354833099693,1497.9675228162357
United States - Arizona,29,2020-03-11 00:00:00,739.9924107863155,194.71760347614375,1814.1029539533447
United States - Arizona,30,2020-03-12 00:00:00,974.4018205125552,268.07428493381195,2052.8464008520905
United States - Arizona,31,2020-03-13 00:00:00,931.3142905168618,74.95560445112662,2327.8067347295246
United States - Arizona,32,2020-03-14 00:00:00,728.2349356914252,63.369916653397624,2142.6877780142763
United States - Arizona,33,2020-03-15 00:00:00,827.1909682713598,64.90586782538125,2606.96299948387
United States - Arizona,34,2020-03-16 00:00:00,1216.8390017300064,89.35809497793733,3005.60343854398
United States - Arizona,35,2020-03-17 00:00:00,1237.9880593354758,505.5284965608456,2823.8145998638092
United States - Arizona,36,2020-03-18 00:00:00,1054.758678466374,487.13459775377595,2333.0215059794064
United States - Arizona,37,2020-03-19 00:00:00,1033.8621940361688,488.9555182552442,2205.6224886125387
United States - Arizona,38,2020-03-20 00:00:00,983.5271746917242,448.6128365982373,2016.2889936818892
United States - Arizona,39,2020-03-21 00:00:00,933.1797844462684,425.73646407779324,1999.4612424316913
United States - Arizona,40,2020-03-22 00:00:00,1072.5899418510405,439.5581536709657,2336.7390611370297
United States - Arizona,41,2020-03-23 00:00:00,1197.3061031373961,539.8455340697235,2455.544021783986
United States - Arizona,42,2020-03-24 00:00:00,1342.2123267240233,558.7078459731817,3106.8892194738437
