Jurisdiction,Timestep,Date,Mean,Lower,Upper
United States - Alabama,80,2020-05-01 00:00:00,54810.23282399228,16347.497140788075,135615.904546821
United States - Alabama,81,2020-05-02 00:00:00,55886.77954642386,16877.432102858533,137777.97084144675
United States - Alabama,82,2020-05-03 00:00:00,56984.40094297998,17417.822860361706,139982.69543285717
United States - Alabama,83,2020-05-04 00:00:00,58103.365651351814,17968.875709665943,142230.91998362716
United States - Alabama,84,2020-05-05 00:00:00,59244.29333785159,18530.80101743646,144523.5027626179
United States - Alabama,85,2020-05-06 00:00:00,60407.42643129487,19103.813300943697,146861.31897262446
United States - Alabama,86,2020-05-07 00:00:00,61593.079040215314,19688.131309956152,149245.2610844882
United States - Alabama,87,2020-05-08 00:00:00,62802.028579753314,20283.97811024899,151676.23917780083
United States - Alabama,88,2020-05-09 00:00:00,64034.58846967746,20891.581168760313,154155.18128833134
United States - Alabama,89,2020-05-10 00:00:00,65291.36735763028,21511.172440427577,156683.03376230717
United States - Alabama,90,2020-05-11 00:00:00,66572.6133651876,22142.98845673736,159244.07116148004
United States - Alabama,91,2020-05-12 00:00:00,67878.34210430805,22785.95211912384,161855.63869181593
United States - Alabama,92,2020-05-13 00:00:00,69209.53896349158,23441.442896927365,164518.73332983546
United States - Alabama,93,2020-05-14 00:00:00,70566.70643465685,24109.866728730518,167234.371722742
United States - Alabama,94,2020-05-15 00:00:00,71950.45765503675,24791.478788048193,170003.59057653105
United States - Alabama,95,2020-05-16 00:00:00,73361.2274750929,25485.345536844758,172827.44705175672
United States - Alabama,96,2020-05-17 00:00:00,74799.54864430931,26192.902510484455,175707.01916710727
United States - Alabama,97,2020-05-18 00:00:00,76265.85707372561,26914.419821718155,178643.4062109431
United States - Alabama,98,2020-05-19 00:00:00,77760.72594820015,27650.172912712354,181637.7291609544
United States - Alabama,99,2020-05-20 00:00:00,79284.80590542815,28400.442660200344,184691.13111209916
United States - Alabama,100,2020-05-21 00:00:00,80838.87518598915,29165.51548270804,187804.77771298413
United States - Alabama,101,2020-05-22 00:00:00,82423.42840785143,29945.683449895416,190979.85761085604
United States - Alabama,102,2020-05-23 00:00:00,84039.15897800185,30732.660135345224,194217.58290537246
United States - Alabama,103,2020-05-24 00:00:00,85686.59033467101,31535.164136073938,197519.1896113257
United States - Alaska,19,2020-03-01 00:00:00,107.97345280826607,55.74033454745394,217.85569910039183
United States - Alaska,20,2020-03-02 00:00:00,190.94696213772102,55.74033454745394,432.0594097954778
United States - Alaska,21,2020-03-03 00:00:00,233.01035940065586,55.74033454745394,616.2534617869939
United States - Alaska,22,2020-03-04 00:00:00,257.3043312725271,55.74033454745394,767.121275359353
United States - Alaska,23,2020-03-05 00:00:00,305.42896668361095,55.74033454745394,958.2048654275179
United States - Alaska,24,2020-03-06 00:00:00,362.16018576556644,55.74033454745394,1153.2222673532444
United States - Alaska,25,2020-03-07 00:00:00,417.30304059919894,55.74033454745394,1347.1635753323023
United States - Alaska,26,2020-03-08 00:00:00,456.75850723183186,55.74033454745394,1525.9362174669927
United States - Alaska,27,2020-03-09 00:00:00,463.7767266543805,55.74033454745394,1635.635772267559
United States - Alaska,28,2020-03-10 00:00:00,463.7767266543805,55.74033454745394,1635.635772267559
United States - Alaska,29,2020-03-11 00:00:00,498.32823155302566,55.74033454745394,1915.1801590039665
United States - Alaska,30,2020-03-12 00:00:00,611.853254824516,55.74033454745394,2297.3473391402963
